iter	Logloss
0	0.6748503449
1	0.6577252876
2	0.6422258503
3	0.6295457808
4	0.6165673069
5	0.6056873962
6	0.5954971324
7	0.5862365748
8	0.5783038032
9	0.5718441429
10	0.5646909848
11	0.5589120505
12	0.5532940045
13	0.5491122105
14	0.5442343439
15	0.5400700492
16	0.5363772225
17	0.5331399898
18	0.5300397242
19	0.5276403883
20	0.5251124728
21	0.5229848032
22	0.5209433032
23	0.5181238289
24	0.515968194
25	0.5144576294
26	0.5130783694
27	0.5118819867
28	0.5105928708
29	0.5094861812
30	0.5081535907
31	0.507305002
32	0.506494144
33	0.5058614773
34	0.5052460504
35	0.5040353295
36	0.5028702001
37	0.5018516002
38	0.5008611958
39	0.5001948567
40	0.4993099797
41	0.4986334383
42	0.4979262779
43	0.4970268137
44	0.4964890715
45	0.4961304652
46	0.4957980772
47	0.4948102624
48	0.4943682402
49	0.4932300602
50	0.4928154908
51	0.4921539917
52	0.491516284
53	0.4907631861
54	0.4894743724
55	0.4887510366
56	0.488150564
57	0.4875002757
58	0.4869515287
59	0.4865933496
60	0.4860123684
61	0.4856988139
62	0.4854193094
63	0.4849301899
64	0.4843437047
65	0.4838426452
66	0.4834136016
67	0.4829825855
68	0.4826569649
69	0.4820449307
70	0.4816317716
71	0.4810261034
72	0.480094096
73	0.4791468377
74	0.4786773957
75	0.4779162881
76	0.4771642879
77	0.4766959652
78	0.4761835698
79	0.4755985139
80	0.4751970353
81	0.4750297305
82	0.4744930871
83	0.4741560802
84	0.4738872973
85	0.4732840697
86	0.4724449113
87	0.4720082841
88	0.4712386498
89	0.4707145233
90	0.4702947469
91	0.4693347118
92	0.4688503889
93	0.4686061264
94	0.4679827991
95	0.4677103338
96	0.4673571899
97	0.4670507274
98	0.4666907615
99	0.4664130139
