iter	Passed	Remaining
0	6	602
1	10	512
2	17	555
3	20	485
4	23	449
5	27	426
6	34	453
7	37	432
8	41	414
9	49	445
10	54	437
11	57	421
12	65	437
13	68	422
14	74	423
15	81	430
16	87	426
17	92	419
18	96	411
19	99	397
20	110	414
21	114	405
22	119	399
23	127	404
24	132	396
25	140	400
26	146	396
27	150	386
28	158	387
29	161	377
30	166	370
31	174	370
32	177	360
33	180	350
34	189	351
35	193	343
36	196	335
37	206	336
38	209	328
39	213	320
40	220	316
41	224	310
42	228	302
43	233	296
44	238	291
45	241	283
46	245	276
47	251	272
48	258	268
49	262	262
50	269	259
51	274	253
52	279	247
53	290	247
54	294	241
55	301	237
56	306	231
57	313	227
58	316	220
59	320	213
60	329	210
61	333	204
62	336	197
63	344	193
64	348	187
65	352	181
66	358	176
67	363	170
68	367	165
69	371	159
70	379	155
71	383	149
72	387	143
73	395	139
74	399	133
75	403	127
76	411	122
77	414	117
78	418	111
79	425	106
80	429	100
81	433	95
82	436	89
83	442	84
84	446	78
85	450	73
86	458	68
87	461	62
88	465	57
89	468	52
90	476	47
91	480	41
92	484	36
93	491	31
94	495	26
95	499	20
96	506	15
97	510	10
98	513	5
99	517	0
